,Unnamed: 0,product_link,product_name,final_price,product_description,name_dimension,final_price_dimension,product_description_location,body_dimension
0,0,https://www.croma.com/oppo-f19s-128gb-rom-6gb-ram-cph2223-glowing-black-/p/243543,"Oppo F19s (128GB ROM, 6GB RAM, CPH2223, Glowing Black)","₹19,990.00","Key Features
16.34 cm (6.43""), FHD Plus
6GB RAM | 128GB ROM | Android 11
Qualcomm Snapdragon Octa Core 662 Processor
R: 48MP + 2MP + 2MP | F: 16MP
5000 mAh Lithium Ion Battery
Fingerprint Sensor | Gyroscope","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 141}","{'x': 15, 'y': 971, 'height': 208, 'width': 755}","{'x': 0, 'y': 0, 'height': 3123, 'width': 785}"
1,1,https://www.croma.com/oppo-a96-128gb-rom-8gb-ram-starry-black-/p/249923,"Oppo A96 (128GB ROM, 8GB RAM, Starry Black)","₹19,999.00","Key Features
16.73cm (6.59""), FHD Plus Color Rich Punch Hole Display
8GB RAM | 128GB ROM | ColorOs 11.1
Qualcomm Snapdragon 680 Processor
R: 50MP + 2MP | F: 16MP
5000 mAh Battery
Fingerprint Sensor","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 141}","{'x': 15, 'y': 986, 'height': 208, 'width': 755}","{'x': 0, 'y': 0, 'height': 3138, 'width': 785}"
2,2,https://www.croma.com/oppo-f21-pro-128gb-rom-8gb-ram-cph2363-sunset-orange-/p/251265,"Oppo F21 Pro (128GB ROM, 8GB RAM, CPH2363, Sunset Orange)","₹22,999.00","Key Features
6.43 cm (16.33""), AMOLED Display
8GB RAM | 128GB ROM | Android
Qualcomm Snapdragon 680 Octa Core Processor
R: 64MP + 2MP + 2MP
4500 mAh Battery
Fiberglass Leather Design","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 145}","{'x': 15, 'y': 971, 'height': 208, 'width': 755}","{'x': 0, 'y': 0, 'height': 3123, 'width': 785}"
3,3,https://www.croma.com/oppo-f21-pro-128gb-rom-8gb-ram-cph2363-cosmic-black-/p/251267,"Oppo F21 Pro (128GB ROM, 8GB RAM, CPH2363, Cosmic Black)","₹22,999.00","Key Features
16.33cm (6.43""), AMOLED Display
8GB RAM | 128GB ROM | Android OS
Qualcomm Snapdragon 680 Octa-Core Processor
R: 64MP + 2MP + 2MP | F: 32 MP
4500 mAh Battery
Fiberglass Leather Design","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 145}","{'x': 15, 'y': 971, 'height': 208, 'width': 755}","{'x': 0, 'y': 0, 'height': 3123, 'width': 785}"
4,4,https://www.croma.com/vivo-v23e-5g-128gb-rom-8gb-ram-v2126-midnight-blue-/p/247961,"Vivo V23e 5G (128GB ROM, 8GB RAM, V2126, Midnight Blue)","₹25,990.00","Key Features
16.35cm (6.44”), AMOLED FHD+
8GB RAM | 128GB ROM | Funtouch OS 12
MediaTek Dimensity 810 Processor
Rear Camera: 50MP + 8MP + 2MP | Front Camera: 44 MP
4050 mAh Battery
Accelerometer, Ambient Light Sensor, Proximity Sensor","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 146}","{'x': 15, 'y': 986, 'height': 208, 'width': 755}","{'x': 0, 'y': 0, 'height': 3138, 'width': 785}"
5,5,https://www.croma.com/vivo-v23e-5g-128gb-rom-8gb-ram-v2126-sunshine-gold-/p/247960,"Vivo V23e 5G (128GB ROM, 8GB RAM, V2126, Sunshine Gold)","₹25,990.00","Key Features
16.35cm (6.44”), AMOLED FHD+
8GB RAM | 128GB ROM | Funtouch OS 12
MediaTek Dimensity 810 Processor
Rear Camera: 50MP + 8MP + 2MP | Front Camera: 44 MP
4050 mAh Battery
Accelerometer, Ambient Light Sensor, Proximity Sensor","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 146}","{'x': 15, 'y': 971, 'height': 208, 'width': 755}","{'x': 0, 'y': 0, 'height': 3123, 'width': 785}"
6,6,https://www.croma.com/vivo-v23-pro-5g-128gb-rom-8gb-ram-v2132-sunshine-gold-/p/246696,"Vivo V23 Pro 5G (128GB ROM, 8GB RAM, V2132, Sunshine Gold)","₹38,990.00","Key Features
16.65 cm (6.56”) | FHD Plus Display
8GB RAM | 128GB ROM | Android OS
MediaTek Dimensity 1200 Processor
108MP AF + 8MP + 2MP Rear Camera | 50MP AF + 8MP Front Camera
4300 mAh Battery","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 145}","{'x': 15, 'y': 986, 'height': 186, 'width': 755}","{'x': 0, 'y': 0, 'height': 3115, 'width': 785}"
7,7,https://www.croma.com/vivo-v23-pro-5g-128gb-rom-8gb-ram-v2132-stardust-black-/p/246697,"Vivo V23 Pro 5G (128GB ROM, 8GB RAM, V2132, Stardust Black)","₹38,990.00","Key Features
16.65 cm (6.56”) | FHD Plus Display
8GB RAM | 128GB ROM | Android OS
MediaTek Dimensity 1200 Processor
108MP AF + 8MP + 2MP Rear Camera | 50MP AF + 8MP Front Camera
4300 mAh Battery","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 145}","{'x': 15, 'y': 971, 'height': 186, 'width': 755}","{'x': 0, 'y': 0, 'height': 3100, 'width': 785}"
8,8,https://www.croma.com/vivo-v23-pro-5g-256gb-rom-12gb-ram-v2132-sunshine-gold-/p/246698,"Vivo V23 Pro 5G (256GB ROM, 12GB RAM, V2132, Sunshine Gold)","₹43,990.00","Key Features
16.65 cm (6.56”) | FHD+
12GB RAM | 256GB ROM | Android OS
MediaTek Dimensity 1200 Processor
108MP AF + 8MP + 2MP Rear Camera | 50MP AF + 8MP Front Camera
4200 mAh Li-Polymer Battery","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 147}","{'x': 15, 'y': 940, 'height': 186, 'width': 755}","{'x': 0, 'y': 0, 'height': 3069, 'width': 785}"
9,9,https://www.croma.com/vivo-v23-pro-5g-256gb-rom-12gb-ram-v2132-stardust-black-/p/246699,"Vivo V23 Pro 5G (256GB ROM, 12GB RAM, V2132, Stardust Black)","₹43,990.00","Key Features
6.56 inch S-Amoled FHD+ Display
256GB ROM |12GB RAM | Android Version 12
MTK Dimensity 1200 5G Processor
108MP Triple Rear Camera| 50MP+8MP Front Camera
4300mAh Battery
In-Display Fingerprint Sensor","{'x': 15, 'y': 676, 'height': 19, 'width': 755}","{'x': 15, 'y': 783, 'height': 31, 'width': 147}","{'x': 15, 'y': 955, 'height': 208, 'width': 755}","{'x': 0, 'y': 0, 'height': 3106, 'width': 785}"
